9186.0, 9114.02491836867, 581.1135040419819
9886.0, 9758.088754397584, 2782.433832635832
13969.0, 13602.876269726563, 5519.9461574057095
14360.0, 14090.326727345555, 7300.274112565764
15543.0, 15365.904649427344, 7993.328513814922
22442.0, 21702.897516750367, 9147.584696285945
35103.0, 34182.959817897594, 10881.62221613399
35103.0, 34182.959817897594, 11896.642329303504
54547.0, 53694.780511323996, 13944.035956990743
54547.0, 53925.62395011216, 16539.47768242099
56649.0, 55897.2299984954, 21267.420815018737
61021.0, 59875.057606500915, 26366.590240568807
99499.0, 97944.4692851344, 31319.99813770003
99499.0, 98256.28946623186, 33207.93754829189
141196.0, 138090.1106104228, 37604.65253433776
111413.0, 109636.72218700811, 40509.24618670303
117521.0, 111829.69225500645, 48019.73809013175
117521.0, 114287.02214810284, 57332.81165299434
149494.0, 142087.4191931701, 61890.49580015514
149494.0, 141456.58431123526, 65170.178631534334
149494.0, 141456.58431123526, 65916.37035903329
166726.0, 159245.60166715438, 66576.58333090505
171708.0, 160179.1612893409, 65341.4177642615
316325.0, 261251.31468784699, 74229.59103843594
416574.0, 366592.20376316475, 81036.87889717137
456365.0, 442254.16316290613, 83260.5025929029
456022.0, 442279.91141756676, 96650.45976052573
456022.0, 445464.05168533843, 118063.82519512577
456022.0, 445464.05168533843, 146148.13455764682
456530.0, 445960.2903278955, 180205.9002086201
456475.0, 445906.56370320916, 192928.071975219
528644.0, 491095.3418002079, 205396.02769488952
528644.0, 491095.3418002079, 199761.2809625997
528644.0, 492592.6138372109, 202388.13097261538
527870.0, 492965.9382257936, 190834.0378037585
538707.0, 513546.64235506183, 211110.92405873802
538707.0, 513546.64235506183, 213921.14578377153
538707.0, 513546.64235506183, 239280.69541302606
538707.0, 518705.5722041588, 243558.31376506898
538707.0, 519033.55466787465, 237664.18144456824
538707.0, 521670.1476568352, 256199.541761845
538707.0, 521670.1476568352, 265787.5278412485
538707.0, 521670.1476568352, 241824.51985904438
538707.0, 521670.1476568352, 256493.71206741274
538859.0, 521817.34058813896, 257122.29166141976
537209.0, 522501.3856614849, 251258.94429890052
538859.0, 523382.2492102878, 264677.31407684565
538859.0, 523382.2492102878, 264420.1173186478
539523.0, 524572.5868921541, 265066.0707042382
539657.0, 524702.8736948364, 263249.78326257714
539523.0, 524572.5868921541, 260777.4727564139
540390.0, 525415.5619512999, 252882.23234637172
540390.0, 525415.5619512999, 249131.8578394887
541461.0, 527299.9274848728, 250851.19874919613
542328.0, 530902.8237551989, 254523.90567430717
542328.0, 530902.8237551989, 236934.80554372232
542328.0, 530902.8237551989, 241341.45517025926
542328.0, 530902.8237551989, 237740.18090118564
542396.0, 530969.3912051836, 254292.9310315863
542328.0, 530902.8237551989, 242241.08629480025
543353.0, 531127.0433801928, 243328.06489106736
543195.0, 530972.5985296922, 250177.4319251735
569799.0, 545512.0908340934, 236087.6437467913
569799.0, 545512.0908340934, 245039.19907411857
569799.0, 545512.0908340934, 242653.7851869883
569788.0, 546535.533626842, 252797.944446001
569788.0, 546535.533626842, 252964.20955276163
570907.0, 546572.8638376336, 254453.22366454377
571406.0, 547050.5946397694, 247331.14467241202
570925.0, 546590.0966120593, 256480.4996778135
571406.0, 547050.5946397694, 257624.88496622266
571406.0, 547050.5946397694, 279551.5449407675
568506.0, 549940.9200327543, 262815.20312734274
568506.0, 549940.9200327543, 264762.2036886189
568506.0, 549940.9200327543, 255609.90573088924
568506.0, 549940.9200327543, 268663.2573669517
568506.0, 549940.9200327543, 255341.68051385024
568506.0, 549940.9200327543, 255918.814941924
569575.0, 550015.7443505145, 252007.53704638066
569575.0, 550015.7443505145, 252087.55390705093
569676.0, 550113.2760016217, 249556.1725825763
569676.0, 550113.2760016217, 261164.15707571767
571219.0, 551603.2892457648, 251192.05456940905
571043.0, 552395.0719926688, 246569.7727278238
572815.0, 553144.4824652416, 260104.30668469475
575266.0, 555511.3149094378, 265828.8445449432
572815.0, 553144.4824652416, 238870.52484923953
575266.0, 555511.3149094378, 244748.9511140877
574190.0, 555439.303848345, 255821.28700571597
575266.0, 555511.3149094378, 256687.48646404315
575266.0, 555511.3149094378, 259439.11192955336
575751.0, 555979.6599667349, 276639.76187843713
577032.0, 557216.6703139464, 261759.17586153778
577032.0, 557216.6703139464, 277427.25464285235
577032.0, 557216.6703139464, 266285.9797066283
577032.0, 557216.6703139464, 264239.1873130984
577170.0, 557349.931381796, 263180.98483168194
577170.0, 557349.931381796, 260800.4206511292
577032.0, 557216.6703139464, 262344.3371379845
578643.0, 557372.4900989203, 264136.84550097276
578643.0, 557372.4900989203, 259621.11970104132
578991.0, 559108.398081462, 275823.24009958486
578991.0, 559108.398081462, 264016.4595777582
579240.0, 559348.8473995383, 270356.7917357068
579240.0, 559348.8473995383, 264296.05078068614
579240.0, 559348.8473995383, 270531.9140953812
579240.0, 559348.8473995383, 266708.3448137286
579240.0, 559348.8473995383, 258551.12813543374
579240.0, 559348.8473995383, 262359.07048521243
579343.0, 559448.3103704693, 256841.75884758477
579880.0, 559966.869743188, 267951.32331727026
579240.0, 559348.8473995383, 266122.5571708204
579334.0, 560415.3218545727, 275480.19174015225
579334.0, 560415.3218545727, 268748.52911976964
580478.0, 560544.3343705358, 257970.38400203906
580478.0, 560544.3343705358, 258678.5366480411
581144.0, 561187.4638718964, 275911.0214102514
581144.0, 561187.4638718964, 275514.7903727018
581364.0, 561399.909052526, 261411.368428173
581364.0, 561399.909052526, 267399.484134876
581364.0, 561399.909052526, 271865.36526567786
581144.0, 561187.4638718964, 254414.7601186961
